
You are analyzing a gear train system with special mechanical components.

Gear 1: 29 teeth, (input gear), meshes with Gear 2
Gear 2: 11 teeth, meshes with Gears 1, 3
Gear 3: 71 teeth, meshes with Gears 2, 4
Gear 4: 17 teeth, meshes with Gears 3, 5
Gear 5: 73 teeth, meshes with Gears 4, 6
Gear 6: 71 teeth, meshes with Gears 5, 7
Gear 7: 29 teeth, meshes with Gears 6, 8
Gear 8: 73 teeth, meshes with Gears 7, 9
Gear 9: 37 teeth, meshes with Gears 8, 10
Gear 10: 31 teeth, meshes with Gears 9, 11
Gear 11: 41 teeth, meshes with Gears 10, 12
Gear 12: 17 teeth, meshes with Gears 11, 13
Gear 13: 13 teeth, meshes with Gears 12, 14
Gear 14: 31 teeth, meshes with Gears 13, 15
Gear 15: 31 teeth, meshes with Gears 14, 16
Gear 16: 83 teeth, meshes with Gears 15, 17
Gear 17: 17 teeth, meshes with Gears 16, 18
Gear 18: 71 teeth, meshes with Gears 17, 19
Gear 19: 29 teeth, meshes with Gears 18, 20
Gear 20: 73 teeth, meshes with Gears 19, 21
Gear 21: 19 teeth, meshes with Gears 20, 22
Gear 22: 83 teeth, meshes with Gears 21, 23
Gear 23: 47 teeth, meshes with Gears 22, 24
Gear 24: 67 teeth, meshes with Gears 23, 25
Gear 25: 11 teeth, meshes with Gears 24, 26
Gear 26: 73 teeth, meshes with Gears 25, 27
Gear 27: 23 teeth, meshes with Gears 26, 28
Gear 28: 89 teeth, meshes with Gears 27, 29
Gear 29: 53 teeth, meshes with Gears 28, 30
Gear 30: 97 teeth, meshes with Gears 29, 31
Gear 31: 23 teeth, meshes with Gears 30, 32
Gear 32: 23 teeth, meshes with Gears 31, 33
Gear 33: 97 teeth, meshes with Gears 32, 34
Gear 34: 67 teeth, meshes with Gears 33, 35
Gear 35: 31 teeth, meshes with Gears 34, 36
Gear 36: 61 teeth, meshes with Gears 35, 37
Gear 37: 11 teeth, meshes with Gears 36, 38
Gear 38: 29 teeth, meshes with Gears 37, 39
Gear 39: 67 teeth, meshes with Gears 38, 40
Gear 40: 67 teeth, meshes with Gears 39, 41
Gear 41: 43 teeth, meshes with Gears 40, 42
Gear 42: 43 teeth, meshes with Gears 41, 43
Gear 43: 41 teeth, meshes with Gears 42, 44
Gear 44: 31 teeth, meshes with Gears 43, 45
Gear 45: 61 teeth, meshes with Gears 44, 46
Gear 46: 53 teeth, meshes with Gears 45, 47
Gear 47: 47 teeth, meshes with Gears 46, 48
Gear 48: 47 teeth, meshes with Gears 47, 49
Gear 49: 13 teeth, meshes with Gears 48, 50
Gear 50: 67 teeth, meshes with Gears 49, 51
Gear 51: 79 teeth, meshes with Gears 50, 52
Gear 52: 41 teeth, meshes with Gears 51, 53
Gear 53: 47 teeth, meshes with Gears 52, 54
Gear 54: 31 teeth, meshes with Gears 53, 55
Gear 55: 23 teeth, meshes with Gears 54, 56
