```json
{
  "voxels": [
    {"xyz": [0,0,0]},
    {"xyz": [1,0,0]},
    {"xyz": [2,0,0]},
    {"xyz": [3,0,0]},
    {"xyz": [4,0,0]},
    {"xyz": [5,0,0]},
    {"xyz": [6,0,0]},
    {"xyz": [7,0,0]},
    {"xyz": [8,0,0]},
    {"xyz": [9,0,0]},
    {"xyz": [10,0,0]},
    {"xyz": [11,0,0]},
    {"xyz": [12,0,0]},
    {"xyz": [13,0,0]},
    {"xyz": [14,0,0]},
    {"xyz": [15,0,0]},
    {"xyz": [0,1,0]},
    {"xyz": [1,1,0]},
    {"xyz": [2,1,0]},
    {"xyz": [3,1,0]},
    {"xyz": [4,1,0]},
    {"xyz": [5,1,0]},
    {"xyz": [6,1,0]},
    {"xyz": [7,1,0]},
    {"xyz": [8,1,0]},
    {"xyz": [9,1,0]},
    {"xyz": [10,1,0]},
    {"xyz": [11,1,0]},
    {"xyz": [12,1,0]},
    {"xyz": [13,1,0]},
    {"xyz": [14,1,0]},
    {"xyz": [15,1,0]},
    {"xyz": [0,2,0]},
    {"xyz": [1,2,0]},
    {"xyz": [2,2,0]},
    {"xyz": [3,2,0]},
    {"xyz": [4,2,0]},
    {"xyz": [5,2,0]},
    {"xyz": [6,2,0]},
    {"xyz": [7,2,0]},
    {"xyz": [8,2,0]},
    {"xyz": [9
