model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
claude-sonnet-4-5-Reasoning-Tools,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,5,0,0,3,0
claude-sonnet-4-5-Reasoning-Tools,3,CSG Union of Polyhedra,22,13,13,0,0.5909090909090909,1.0,5,1,0,7,0
claude-sonnet-4-5-Reasoning-Tools,4,Tetrahedron Shadow Coverage,20,20,20,0,1.0,1.0,2,1,6,10,1
claude-sonnet-4-5-Reasoning-Tools,6,Voxel Grid Projection - shadow coverage and no symmetries,6,2,2,0,0.3333333333333333,1.0,0,0,0,2,0
claude-sonnet-4-5-Reasoning-Tools,7,3D maze - solution requires jumping over gaps,6,6,6,0,1.0,1.0,5,0,0,1,0
claude-sonnet-4-5-Reasoning-Tools,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,8,8,0,0.8888888888888888,1.0,2,0,0,6,0
claude-sonnet-4-5-Reasoning-Tools,9,Hamiltonian Loop on Grid,10,4,4,0,0.4,1.0,2,0,0,2,0
claude-sonnet-4-5-Reasoning-Tools,11,Hyper-snake Challenge,13,12,12,0,0.9230769230769231,1.0,5,2,0,2,3
claude-sonnet-4-5-Reasoning-Tools,12,Fit a loop into a square that's perimeter is smaller than the total length,40,29,29,0,0.725,1.0,8,1,3,17,0
claude-sonnet-4-5-Reasoning-Tools,13,Hide and seek behind a building,6,4,4,0,0.6666666666666666,1.0,1,0,0,1,2
claude-sonnet-4-5-Reasoning-Tools,16,Pack rectangular prisms,9,4,4,0,0.4444444444444444,1.0,3,0,0,1,0
claude-sonnet-4-5-Reasoning-Tools,23,Fluid simulation,11,4,4,0,0.36363636363636365,1.0,1,0,0,3,0
claude-sonnet-4-5-Reasoning-Tools,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,9,0,0,0,0
claude-sonnet-4-5-Reasoning-Tools,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,8,1,0,0,0
claude-sonnet-4-5-Reasoning-Tools,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,0,0,0,0,1
claude-sonnet-4-5-Reasoning-Tools,51,VGB1 — Topology Enumeration,10,4,4,0,0.4,1.0,0,0,0,4,0
claude-sonnet-4-5-Reasoning-Tools,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,3,3,0,0.375,1.0,0,0,0,3,0
claude-sonnet-4-5-Reasoning-Tools,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,8,8,0,0.6153846153846154,1.0,0,0,0,3,5
claude-sonnet-4-5-Reasoning-Tools,54,VGB4 — Half Subdivision Neighbours,17,11,11,0,0.6470588235294118,1.0,10,0,0,1,0
claude-sonnet-4-5-Reasoning-Tools,55,VGB6 — Delaunay Triangulation,25,9,9,0,0.36,1.0,0,0,0,8,1
claude-sonnet-4-5-Reasoning-Tools,56,VGB7 — Shikaku Rectangles,6,3,3,0,0.5,1.0,3,0,0,0,0
claude-sonnet-4-5-Reasoning-Tools,57,VGB5 — Two Segments,27,7,7,0,0.25925925925925924,1.0,1,0,0,4,2
