task_index,subpass,model_run,score
16,0,claude-sonnet-4-5-HighReasoning,1.0000000000
16,1,claude-sonnet-4-5-HighReasoning,1.0000000000
16,2,claude-sonnet-4-5-HighReasoning,0.0000000000
16,3,claude-sonnet-4-5-HighReasoning,0.9070305167
16,4,claude-sonnet-4-5-HighReasoning,0.6602398951
16,5,claude-sonnet-4-5-HighReasoning,0.5510321306
16,6,claude-sonnet-4-5-HighReasoning,0.6295790862
16,7,claude-sonnet-4-5-HighReasoning,0.4844666453
16,8,claude-sonnet-4-5-HighReasoning,0.9565112995
16,0,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
16,1,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
16,2,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
16,3,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
16,4,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
16,5,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
16,6,claude-sonnet-4-5-Reasoning-Tools,0.9867009689
16,7,claude-sonnet-4-5-Reasoning-Tools,0.7630349663
16,8,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
16,0,gemini-3-pro-preview-HighReasoning,1.0000000000
16,1,gemini-3-pro-preview-HighReasoning,1.0000000000
16,2,gemini-3-pro-preview-HighReasoning,1.0000000000
16,3,gemini-3-pro-preview-HighReasoning,1.0000000000
16,4,gemini-3-pro-preview-HighReasoning,1.0000000000
16,5,gemini-3-pro-preview-HighReasoning,0.9501062707
16,6,gemini-3-pro-preview-HighReasoning,0.8279396202
16,7,gemini-3-pro-preview-HighReasoning,0.9336280290
16,8,gemini-3-pro-preview-HighReasoning,0.9565112995
16,0,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,1,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,2,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,3,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
16,4,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
16,5,gemini-3-pro-preview-Reasoning-Tools,0.7304298246
16,6,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,7,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,8,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
16,0,gpt-5.2-HighReasoning,1.0000000000
16,1,gpt-5.2-HighReasoning,1.0000000000
16,2,gpt-5.2-HighReasoning,1.0000000000
16,3,gpt-5.2-HighReasoning,0.0000000000
16,4,gpt-5.2-HighReasoning,0.0000000000
16,5,gpt-5.2-HighReasoning,0.0000000000
16,6,gpt-5.2-HighReasoning,0.0000000000
16,7,gpt-5.2-HighReasoning,0.0000000000
16,8,gpt-5.2-HighReasoning,0.0000000000
16,0,gpt-5.2-Reasoning-Tools,1.0000000000
16,1,gpt-5.2-Reasoning-Tools,1.0000000000
16,2,gpt-5.2-Reasoning-Tools,1.0000000000
16,3,gpt-5.2-Reasoning-Tools,1.0000000000
16,4,gpt-5.2-Reasoning-Tools,0.0000000000
16,5,gpt-5.2-Reasoning-Tools,0.0000000000
16,6,gpt-5.2-Reasoning-Tools,0.0000000000
16,7,gpt-5.2-Reasoning-Tools,0.0000000000
16,8,gpt-5.2-Reasoning-Tools,0.0000000000
