model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
claude-sonnet-4-5-HighReasoning,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,5,0,0,3,0
claude-sonnet-4-5-HighReasoning,3,CSG Union of Polyhedra,22,13,13,0,0.5909090909090909,1.0,0,1,0,11,1
claude-sonnet-4-5-HighReasoning,4,Tetrahedron Shadow Coverage,20,19,19,0,0.95,1.0,0,0,2,16,1
claude-sonnet-4-5-HighReasoning,6,Voxel Grid Projection - shadow coverage and no symmetries,6,2,2,0,0.3333333333333333,1.0,0,0,0,2,0
claude-sonnet-4-5-HighReasoning,7,3D maze - solution requires jumping over gaps,6,6,6,0,1.0,1.0,5,0,0,1,0
claude-sonnet-4-5-HighReasoning,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,8,8,0,0.8888888888888888,1.0,0,0,0,8,0
claude-sonnet-4-5-HighReasoning,9,Hamiltonian Loop on Grid,10,5,5,0,0.5,1.0,0,0,0,0,5
claude-sonnet-4-5-HighReasoning,11,Hyper-snake Challenge,13,11,11,0,0.8461538461538461,1.0,0,1,0,4,6
claude-sonnet-4-5-HighReasoning,12,Fit a loop into a square that's perimeter is smaller than the total length,40,26,26,0,0.65,1.0,0,0,3,23,0
claude-sonnet-4-5-HighReasoning,13,Hide and seek behind a building,6,3,3,0,0.5,1.0,0,0,0,3,0
claude-sonnet-4-5-HighReasoning,16,Pack rectangular prisms,9,3,3,0,0.3333333333333333,1.0,0,1,0,1,1
claude-sonnet-4-5-HighReasoning,23,Fluid simulation,11,3,3,0,0.2727272727272727,1.0,0,0,0,3,0
claude-sonnet-4-5-HighReasoning,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,8,0,0,1,0
claude-sonnet-4-5-HighReasoning,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,7,7,0,0.7777777777777778,1.0,6,0,0,0,1
claude-sonnet-4-5-HighReasoning,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,0,0,0,1,0
claude-sonnet-4-5-HighReasoning,51,VGB1 — Topology Enumeration,10,6,6,0,0.6,1.0,0,0,0,6,0
claude-sonnet-4-5-HighReasoning,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,7,7,0,0.875,1.0,0,0,0,5,2
claude-sonnet-4-5-HighReasoning,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,8,8,0,0.6153846153846154,1.0,0,0,0,3,5
claude-sonnet-4-5-HighReasoning,54,VGB4 — Half Subdivision Neighbours,17,7,7,0,0.4117647058823529,1.0,0,0,0,6,1
claude-sonnet-4-5-HighReasoning,55,VGB6 — Delaunay Triangulation,25,23,23,0,0.92,1.0,0,0,0,23,0
claude-sonnet-4-5-HighReasoning,56,VGB7 — Shikaku Rectangles,6,5,5,0,0.8333333333333334,1.0,0,0,0,3,2
claude-sonnet-4-5-HighReasoning,57,VGB5 — Two Segments,27,10,10,0,0.37037037037037035,1.0,0,0,0,6,4
