model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
gemini-3-pro-preview-Reasoning-Tools,2,Build a Lego(tm) hemispherical shell,8,7,7,0,0.875,1.0,0,0,0,6,1
gemini-3-pro-preview-Reasoning-Tools,3,CSG Union of Polyhedra,22,6,6,0,0.2727272727272727,1.0,0,0,0,6,0
gemini-3-pro-preview-Reasoning-Tools,4,Tetrahedron Shadow Coverage,20,11,11,0,0.55,1.0,0,0,0,9,2
gemini-3-pro-preview-Reasoning-Tools,6,Voxel Grid Projection - shadow coverage and no symmetries,6,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,7,3D maze - solution requires jumping over gaps,6,2,2,0,0.3333333333333333,1.0,0,0,0,2,0
gemini-3-pro-preview-Reasoning-Tools,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,9,Hamiltonian Loop on Grid,10,2,2,0,0.2,1.0,1,0,0,0,1
gemini-3-pro-preview-Reasoning-Tools,11,Hyper-snake Challenge,13,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,12,Fit a loop into a square that's perimeter is smaller than the total length,40,9,9,0,0.225,1.0,6,1,0,2,0
gemini-3-pro-preview-Reasoning-Tools,13,Hide and seek behind a building,6,1,1,0,0.16666666666666666,1.0,0,0,0,0,1
gemini-3-pro-preview-Reasoning-Tools,16,Pack rectangular prisms,9,2,2,0,0.2222222222222222,1.0,1,0,0,1,0
gemini-3-pro-preview-Reasoning-Tools,23,Fluid simulation,11,3,3,0,0.2727272727272727,1.0,0,0,0,3,0
gemini-3-pro-preview-Reasoning-Tools,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,9,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,9,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,1,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,51,VGB1 — Topology Enumeration,10,5,5,0,0.5,1.0,1,0,0,2,2
gemini-3-pro-preview-Reasoning-Tools,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,2,2,0,0.25,1.0,1,0,0,0,1
gemini-3-pro-preview-Reasoning-Tools,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,7,7,0,0.5384615384615384,1.0,0,0,0,1,6
gemini-3-pro-preview-Reasoning-Tools,54,VGB4 — Half Subdivision Neighbours,17,2,2,0,0.11764705882352941,1.0,1,0,0,1,0
gemini-3-pro-preview-Reasoning-Tools,55,VGB6 — Delaunay Triangulation,25,15,15,0,0.6,1.0,1,0,0,12,2
gemini-3-pro-preview-Reasoning-Tools,56,VGB7 — Shikaku Rectangles,6,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-Reasoning-Tools,57,VGB5 — Two Segments,27,3,3,0,0.1111111111111111,1.0,0,0,0,0,3
