model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
gpt-5.2-chat-azure-Reasoning,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,5,0,0,3,0
gpt-5.2-chat-azure-Reasoning,3,CSG Union of Polyhedra,22,13,13,0,0.5909090909090909,1.0,2,0,0,10,1
gpt-5.2-chat-azure-Reasoning,4,Tetrahedron Shadow Coverage,20,19,19,0,0.95,1.0,1,0,2,14,2
gpt-5.2-chat-azure-Reasoning,6,Voxel Grid Projection - shadow coverage and no symmetries,6,6,6,0,1.0,1.0,1,0,0,3,2
gpt-5.2-chat-azure-Reasoning,7,3D maze - solution requires jumping over gaps,6,6,6,0,1.0,1.0,5,1,0,0,0
gpt-5.2-chat-azure-Reasoning,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,8,8,0,0.8888888888888888,1.0,0,1,0,7,0
gpt-5.2-chat-azure-Reasoning,9,Hamiltonian Loop on Grid,10,6,6,0,0.6,1.0,4,0,0,1,1
gpt-5.2-chat-azure-Reasoning,11,Hyper-snake Challenge,13,10,10,0,0.7692307692307693,1.0,0,10,0,0,0
gpt-5.2-chat-azure-Reasoning,12,Fit a loop into a square that's perimeter is smaller than the total length,40,34,34,0,0.85,1.0,2,5,5,21,1
gpt-5.2-chat-azure-Reasoning,13,Hide and seek behind a building,6,3,3,0,0.5,1.0,1,1,0,1,0
gpt-5.2-chat-azure-Reasoning,16,Pack rectangular prisms,9,6,6,0,0.6666666666666666,1.0,5,0,0,1,0
gpt-5.2-chat-azure-Reasoning,23,Fluid simulation,11,5,5,0,0.45454545454545453,1.0,0,0,0,5,0
gpt-5.2-chat-azure-Reasoning,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,8,0,0,0,1
gpt-5.2-chat-azure-Reasoning,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,8,1,0,0,0
gpt-5.2-chat-azure-Reasoning,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,1,0,0,0,0
gpt-5.2-chat-azure-Reasoning,51,VGB1 — Topology Enumeration,5,4,4,0,0.8,1.0,0,0,0,4,0
gpt-5.2-chat-azure-Reasoning,52,VGB2 — Topology Edge Tasks: Enumerate Edges,3,3,3,0,1.0,1.0,0,0,0,3,0
gpt-5.2-chat-azure-Reasoning,53,VGB3 — Topology Edge Tasks: Classify Behaviour,3,1,1,0,0.3333333333333333,1.0,0,0,0,0,1
gpt-5.2-chat-azure-Reasoning,54,VGB4 — Half Subdivision Neighbours,7,4,4,0,0.5714285714285714,1.0,0,0,0,4,0
gpt-5.2-chat-azure-Reasoning,55,VGB6 — Delaunay Triangulation,5,4,4,0,0.8,1.0,2,0,1,1,0
gpt-5.2-chat-azure-Reasoning,56,VGB7 — Shikaku Rectangles,6,6,6,0,1.0,1.0,5,0,0,0,1
gpt-5.2-chat-azure-Reasoning,57,VGB5 — Two Segments,4,3,3,0,0.75,1.0,0,0,0,2,1
