
You are given a list of dimensions, these represent a series of recursive subdivisions of a 0,0,0->1,1,1 unit cube.

Eg [Z,Z,Z,X] means:
- the cube has 16 rectangular prism leaf nodes, 
- Each of size [1/2, 1, 1/8]. 
- Nodes are identified by their path through the tree. 0 represents the minimum split, 1 represents the maximum split.
- "" is the root node. "0" is the z= [0,0.5] half of the cube. "00" is the z= [0,0.25] quarter of the cube. etc.



Tree structure:
0: Z
1: X
2: Y
3: Z
4: X
5: Y
6: Z
7: X
8: Y
9: Z
10: X
11: Y
12: Z
13: X
14: Y
15: Z

Task: List all nodes that touch a face to one of the 8 corner nodes
