model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
gpt-5.2-HighReasoning,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,7,0,0,1,0
gpt-5.2-HighReasoning,3,CSG Union of Polyhedra,22,4,4,0,0.18181818181818182,1.0,1,2,1,0,0
gpt-5.2-HighReasoning,4,Tetrahedron Shadow Coverage,20,19,19,0,0.95,1.0,18,0,0,1,0
gpt-5.2-HighReasoning,6,Voxel Grid Projection - shadow coverage and no symmetries,6,4,4,0,0.6666666666666666,1.0,0,0,0,4,0
gpt-5.2-HighReasoning,7,3D maze - solution requires jumping over gaps,6,5,5,0,0.8333333333333334,1.0,5,0,0,0,0
gpt-5.2-HighReasoning,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,5,5,0,0.5555555555555556,1.0,1,0,0,3,1
gpt-5.2-HighReasoning,9,Hamiltonian Loop on Grid,10,2,2,0,0.2,1.0,2,0,0,0,0
gpt-5.2-HighReasoning,11,Hyper-snake Challenge,13,6,6,0,0.46153846153846156,1.0,2,0,0,3,1
gpt-5.2-HighReasoning,12,Fit a loop into a square that's perimeter is smaller than the total length,40,4,4,0,0.1,1.0,4,0,0,0,0
gpt-5.2-HighReasoning,13,Hide and seek behind a building,6,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-HighReasoning,16,Pack rectangular prisms,9,6,6,0,0.6666666666666666,1.0,6,0,0,0,0
gpt-5.2-HighReasoning,23,Fluid simulation,11,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-HighReasoning,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,8,0,0,0,1
gpt-5.2-HighReasoning,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,9,0,0,0,0
gpt-5.2-HighReasoning,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,1,0,0,0,0
gpt-5.2-HighReasoning,51,VGB1 — Topology Enumeration,10,7,7,0,0.7,1.0,0,0,0,6,1
gpt-5.2-HighReasoning,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-HighReasoning,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,6,6,0,0.46153846153846156,1.0,0,0,0,1,5
gpt-5.2-HighReasoning,54,VGB4 — Half Subdivision Neighbours,17,3,3,0,0.17647058823529413,1.0,0,0,0,3,0
gpt-5.2-HighReasoning,55,VGB6 — Delaunay Triangulation,25,21,21,0,0.84,1.0,19,0,0,2,0
gpt-5.2-HighReasoning,56,VGB7 — Shikaku Rectangles,6,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-HighReasoning,57,VGB5 — Two Segments,27,3,3,0,0.1111111111111111,1.0,0,0,0,0,3
