model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
gpt-5.2-Reasoning-Tools,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,6,0,0,2,0
gpt-5.2-Reasoning-Tools,3,CSG Union of Polyhedra,22,6,6,0,0.2727272727272727,1.0,3,2,1,0,0
gpt-5.2-Reasoning-Tools,4,Tetrahedron Shadow Coverage,20,5,5,0,0.25,1.0,0,0,0,4,1
gpt-5.2-Reasoning-Tools,6,Voxel Grid Projection - shadow coverage and no symmetries,6,4,4,0,0.6666666666666666,1.0,0,0,0,1,3
gpt-5.2-Reasoning-Tools,7,3D maze - solution requires jumping over gaps,6,5,5,0,0.8333333333333334,1.0,5,0,0,0,0
gpt-5.2-Reasoning-Tools,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,2,2,0,0.2222222222222222,1.0,1,0,0,0,1
gpt-5.2-Reasoning-Tools,9,Hamiltonian Loop on Grid,10,1,1,0,0.1,1.0,0,0,1,0,0
gpt-5.2-Reasoning-Tools,11,Hyper-snake Challenge,13,7,7,0,0.5384615384615384,1.0,4,0,0,1,2
gpt-5.2-Reasoning-Tools,12,Fit a loop into a square that's perimeter is smaller than the total length,40,6,6,0,0.15,1.0,3,0,2,1,0
gpt-5.2-Reasoning-Tools,13,Hide and seek behind a building,6,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-Reasoning-Tools,16,Pack rectangular prisms,9,5,5,0,0.5555555555555556,1.0,4,0,0,1,0
gpt-5.2-Reasoning-Tools,23,Fluid simulation,11,2,2,0,0.18181818181818182,1.0,1,0,0,1,0
gpt-5.2-Reasoning-Tools,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,8,0,0,1,0
gpt-5.2-Reasoning-Tools,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,8,1,0,0,0
gpt-5.2-Reasoning-Tools,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,1,0,0,0,0
gpt-5.2-Reasoning-Tools,51,VGB1 — Topology Enumeration,10,7,7,0,0.7,1.0,0,0,0,6,1
gpt-5.2-Reasoning-Tools,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,1,1,0,0.125,1.0,0,0,0,0,1
gpt-5.2-Reasoning-Tools,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,7,7,0,0.5384615384615384,1.0,0,0,0,1,6
gpt-5.2-Reasoning-Tools,54,VGB4 — Half Subdivision Neighbours,17,4,4,0,0.23529411764705882,1.0,0,0,0,2,2
gpt-5.2-Reasoning-Tools,55,VGB6 — Delaunay Triangulation,25,9,9,0,0.36,1.0,0,0,0,8,1
gpt-5.2-Reasoning-Tools,56,VGB7 — Shikaku Rectangles,6,0,0,0,0.0,0.0,0,0,0,0,0
gpt-5.2-Reasoning-Tools,57,VGB5 — Two Segments,27,3,3,0,0.1111111111111111,1.0,0,0,0,0,3
