model_name,test_index,test_title,subpasses_total,candidates,judged,judge_errors,candidate_rate,judge_coverage_rate,Evasion / Forfeit__count,Trivialized / Misframed__count,Runaway Overthinking__count,Local-Only (Global Constraint Integration Failure)__count,Near-Miss Edge Case__count
gemini-3-pro-preview-HighReasoning,2,Build a Lego(tm) hemispherical shell,8,8,8,0,1.0,1.0,5,0,0,3,0
gemini-3-pro-preview-HighReasoning,3,CSG Union of Polyhedra,22,7,7,0,0.3181818181818182,1.0,0,0,0,5,2
gemini-3-pro-preview-HighReasoning,4,Tetrahedron Shadow Coverage,20,15,15,0,0.75,1.0,0,0,0,11,4
gemini-3-pro-preview-HighReasoning,6,Voxel Grid Projection - shadow coverage and no symmetries,6,2,2,0,0.3333333333333333,1.0,0,0,0,1,1
gemini-3-pro-preview-HighReasoning,7,3D maze - solution requires jumping over gaps,6,3,3,0,0.5,1.0,0,0,0,3,0
gemini-3-pro-preview-HighReasoning,8,Fit a curve to partition 2D ascii patterns via cubic polynomials,9,3,3,0,0.3333333333333333,1.0,0,0,0,3,0
gemini-3-pro-preview-HighReasoning,9,Hamiltonian Loop on Grid,10,3,3,0,0.3,1.0,2,0,0,0,1
gemini-3-pro-preview-HighReasoning,11,Hyper-snake Challenge,13,9,9,0,0.6923076923076923,1.0,1,8,0,0,0
gemini-3-pro-preview-HighReasoning,12,Fit a loop into a square that's perimeter is smaller than the total length,40,6,6,0,0.15,1.0,2,0,0,4,0
gemini-3-pro-preview-HighReasoning,13,Hide and seek behind a building,6,2,2,0,0.3333333333333333,1.0,0,1,0,0,1
gemini-3-pro-preview-HighReasoning,16,Pack rectangular prisms,9,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-HighReasoning,23,Fluid simulation,11,4,4,0,0.36363636363636365,1.0,0,0,0,3,1
gemini-3-pro-preview-HighReasoning,28,"AI controlling explosives, what could possibly go wrong?",9,9,9,0,1.0,1.0,8,0,0,1,0
gemini-3-pro-preview-HighReasoning,29,Cage match. Can LLMs design interlocking parts for 3D printing?,9,9,9,0,1.0,1.0,8,1,0,0,0
gemini-3-pro-preview-HighReasoning,30,What's the largest prime number you can 3D print without supports?,1,1,1,0,1.0,1.0,0,0,0,0,1
gemini-3-pro-preview-HighReasoning,51,VGB1 — Topology Enumeration,10,0,0,0,0.0,0.0,0,0,0,0,0
gemini-3-pro-preview-HighReasoning,52,VGB2 — Topology Edge Tasks: Enumerate Edges,8,2,2,0,0.25,1.0,0,0,0,1,1
gemini-3-pro-preview-HighReasoning,53,VGB3 — Topology Edge Tasks: Classify Behaviour,13,7,7,0,0.5384615384615384,1.0,1,0,0,1,5
gemini-3-pro-preview-HighReasoning,54,VGB4 — Half Subdivision Neighbours,17,2,2,0,0.11764705882352941,1.0,0,0,0,2,0
gemini-3-pro-preview-HighReasoning,55,VGB6 — Delaunay Triangulation,25,24,24,0,0.96,1.0,0,0,0,24,0
gemini-3-pro-preview-HighReasoning,56,VGB7 — Shikaku Rectangles,6,4,4,0,0.6666666666666666,1.0,0,1,0,1,2
gemini-3-pro-preview-HighReasoning,57,VGB5 — Two Segments,27,3,3,0,0.1111111111111111,1.0,0,0,0,0,3
